f1,i,query time (s),train time (s)
0.9995801651350468,0,0.002087831497192383,0.03061985969543457
0.9997200970330286,1,0.12076187133789062,0.02663111686706543
0.9997200970330286,2,0.11838483810424805,0.03638625144958496
0.9997200970330286,3,0.11646008491516113,0.035678863525390625
0.9995335820895522,4,0.11456632614135742,0.03794980049133301
0.9997667584083594,5,0.12195801734924316,0.03610992431640625
0.9997667584083594,6,0.11603093147277832,0.03515982627868652
0.9997667584083594,7,0.11916089057922363,0.028104782104492188
0.9997200709153681,8,0.11485409736633301,0.02774500846862793
0.9997200709153681,9,0.1317291259765625,0.030521869659423828
0.9993470758324784,10,0.11819005012512207,0.03044915199279785
0.9996735226901731,11,0.11908602714538574,0.031265974044799805
0.9998134154305439,12,0.1198720932006836,0.03553891181945801
0.9998600550450156,13,0.11808633804321289,0.02831101417541504
0.9998134154305439,14,0.11641693115234375,0.029981136322021484
0.9998134154305439,15,0.12381196022033691,0.029306650161743164
0.9998134328358209,16,0.12129402160644531,0.024648189544677734
0.9998600681001911,17,0.11553788185119629,0.025255918502807617
0.9997667801669853,18,0.11455082893371582,0.022488117218017578
0.9998600681001911,19,0.1136941909790039,0.047727108001708984
0.9998600681001911,20,0.13309001922607422,0.03256583213806152
0.9998600681001911,21,0.11809110641479492,0.025494098663330078
0.9999067077152719,22,0.12688994407653809,0.0256497859954834
0.9999067077152719,23,0.11666202545166016,0.028765201568603516
0.9999067077152719,24,0.11443209648132324,0.02672410011291504
0.9999067077152719,25,0.11862516403198242,0.025956153869628906
0.9999067077152719,26,0.11759805679321289,0.02968883514404297
0.9999067077152719,27,0.1222982406616211,0.02372598648071289
0.9999067077152719,28,0.11992120742797852,0.02558588981628418
0.9999067077152719,29,0.11745882034301758,0.029685020446777344
0.9999067077152719,30,0.11605715751647949,0.027391910552978516
0.9999067077152719,31,0.11868619918823242,0.024486780166625977
0.9999067077152719,32,0.12090015411376953,0.02198505401611328
0.9999067077152719,33,0.12179207801818848,0.025118112564086914
0.9999067077152719,34,0.11287713050842285,0.02668905258178711
0.999953356033397,35,0.11258697509765625,0.02296280860900879
0.9999067077152719,36,0.11815404891967773,0.023048877716064453
0.9999067077152719,37,0.11497187614440918,0.024181842803955078
0.9999067077152719,38,0.11831903457641602,0.024638891220092773
0.999953356033397,39,0.11605191230773926,0.02488112449645996
0.9999067077152719,40,0.11416888236999512,0.023220062255859375
0.9999067077152719,41,0.11607503890991211,0.026806116104125977
0.9999067077152719,42,0.11764192581176758,0.021512269973754883
0.9999067077152719,43,0.11831188201904297,0.023743152618408203
0.999953356033397,44,0.12114620208740234,0.02763199806213379
0.999953356033397,45,0.11860418319702148,0.02663278579711914
0.999953356033397,46,0.11222243309020996,0.025032997131347656
0.9999067077152719,47,0.1120150089263916,0.0224611759185791
0.999953356033397,48,0.11465811729431152,0.02297687530517578
0.999953356033397,49,0.11192893981933594,0.026351213455200195
0.999953356033397,50,0.11822509765625,0.024798870086669922
0.999953356033397,51,0.12014508247375488,0.024059295654296875
0.999953356033397,52,0.11541581153869629,0.024532079696655273
0.999953356033397,53,0.12280583381652832,0.02708911895751953
0.999953356033397,54,0.11725902557373047,0.02416682243347168
0.999953356033397,55,0.11966633796691895,0.024473905563354492
0.999953356033397,56,0.12282395362854004,0.02797675132751465
0.999953356033397,57,0.1132359504699707,0.023356914520263672
0.999953356033397,58,0.11728096008300781,0.024526119232177734
0.999953356033397,59,0.11570620536804199,0.027866840362548828
0.999953356033397,60,0.11123013496398926,0.025144100189208984
0.999953356033397,61,0.11206603050231934,0.025188207626342773
0.999953356033397,62,0.1146538257598877,0.021301984786987305
0.999953356033397,63,0.11220002174377441,0.02686905860900879
0.999953356033397,64,0.12328410148620605,0.02571272850036621
0.999953356033397,65,0.11584115028381348,0.03413200378417969
0.999953356033397,66,0.11637496948242188,0.032750844955444336
0.999953356033397,67,0.12020206451416016,0.030787229537963867
0.999953356033397,68,0.11331987380981445,0.024060964584350586
0.999953356033397,69,0.11782121658325195,0.02354717254638672
0.999953356033397,70,0.11281824111938477,0.02324676513671875
0.999953356033397,71,0.11654019355773926,0.026032209396362305
0.999953356033397,72,0.11577081680297852,0.03247213363647461
0.999953356033397,73,0.11655592918395996,0.028516292572021484
0.999953356033397,74,0.11610293388366699,0.02749180793762207
0.999953356033397,75,0.11456799507141113,0.025985002517700195
0.999953356033397,76,0.11656904220581055,0.043179988861083984
0.999953356033397,77,0.12557220458984375,0.038980960845947266
0.999953356033397,78,0.11475992202758789,0.03110504150390625
0.9993939676471959,79,0.11377310752868652,0.03279304504394531
0.999953356033397,80,0.1163787841796875,0.030652999877929688
0.999953356033397,81,0.11557292938232422,0.031595706939697266
0.999953356033397,82,0.12176108360290527,0.03546333312988281
0.999953356033397,83,0.11406922340393066,0.02361011505126953
0.999953356033397,84,0.11326289176940918,0.029776811599731445
0.9993007970913159,85,0.11810517311096191,0.03573179244995117
0.9993473801976505,86,0.11965394020080566,0.049446821212768555
0.999953356033397,87,0.117340087890625,0.03508710861206055
0.999953356033397,88,0.11559295654296875,0.0272519588470459
0.999953356033397,89,0.11635804176330566,0.0358281135559082
0.999953356033397,90,0.1212148666381836,0.024641036987304688
0.999953356033397,91,0.1194009780883789,0.029336214065551758
0.999953356033397,92,0.11584115028381348,0.02893209457397461
0.999953356033397,93,0.1177978515625,0.025461912155151367
0.999953356033397,94,0.114501953125,0.026866912841796875
0.9993939676471959,95,0.11496305465698242,0.031604766845703125
0.999953356033397,96,0.1100931167602539,0.028984785079956055
0.999953356033397,97,0.12729096412658691,0.033754825592041016
0.999953356033397,98,0.11607909202575684,0.03296613693237305
0.9997668236720607,99,0.11380195617675781,0.03578805923461914
0.999953356033397,100,0.11440682411193848,0.03281521797180176
