f1,i,query time (s),train time (s)
0.999821899266225,0,0.11146020889282227,0.1093759536743164
0.9998931471719618,1,0.32094597816467285,0.1110539436340332
0.9999821927809535,2,0.31046581268310547,0.11033177375793457
1.0,3,0.40369677543640137,0.11013913154602051
1.0,4,0.3016550540924072,0.11051106452941895
1.0,5,0.3064849376678467,0.11242008209228516
1.0,6,0.39325618743896484,0.10944700241088867
1.0,7,0.3107583522796631,0.10824298858642578
1.0,8,0.3097951412200928,0.11149096488952637
1.0,9,0.4071040153503418,0.10884904861450195
1.0,10,0.30197715759277344,0.10975885391235352
1.0,11,0.30584216117858887,0.10921120643615723
1.0,12,0.32910799980163574,0.10747694969177246
1.0,13,0.30345797538757324,0.10914111137390137
1.0,14,0.3032817840576172,0.11027097702026367
0.9999821927809535,15,0.41277074813842773,0.10985875129699707
1.0,16,0.30711913108825684,0.10764479637145996
1.0,17,0.306473970413208,0.11125302314758301
1.0,18,0.40547728538513184,0.11229801177978516
1.0,19,0.3047471046447754,0.10892915725708008
1.0,20,0.3036348819732666,0.110260009765625
1.0,21,0.3030662536621094,0.10884881019592285
1.0,22,0.306380033493042,0.1098170280456543
1.0,23,0.30402517318725586,0.11192917823791504
1.0,24,0.40862011909484863,0.11155891418457031
1.0,25,0.3099052906036377,0.10831308364868164
1.0,26,0.31120800971984863,0.10796689987182617
1.0,27,0.30919313430786133,0.10835003852844238
1.0,28,0.3143742084503174,0.10974502563476562
1.0,29,0.35205769538879395,0.10767984390258789
1.0,30,0.3339118957519531,0.11329007148742676
1.0,31,0.3254711627960205,0.1114509105682373
1.0,32,0.3349649906158447,0.10911417007446289
1.0,33,0.31894421577453613,0.10840320587158203
1.0,34,0.32521510124206543,0.1091160774230957
1.0,35,0.33792614936828613,0.11127400398254395
1.0,36,0.3184959888458252,0.10917520523071289
1.0,37,0.3287038803100586,0.11017608642578125
1.0,38,0.33530306816101074,0.11186790466308594
1.0,39,0.34631991386413574,0.11218094825744629
1.0,40,0.3276331424713135,0.10831475257873535
1.0,41,0.3251349925994873,0.10885405540466309
1.0,42,0.30944204330444336,0.10830283164978027
1.0,43,0.3142859935760498,0.10858416557312012
1.0,44,0.3114938735961914,0.10968780517578125
1.0,45,0.3182871341705322,0.11029720306396484
1.0,46,0.35398197174072266,0.11019682884216309
1.0,47,0.3448948860168457,0.10934686660766602
1.0,48,0.347822904586792,0.11133599281311035
1.0,49,0.33736109733581543,0.11079764366149902
1.0,50,0.3594379425048828,0.10933780670166016
1.0,51,0.3159751892089844,0.11272096633911133
1.0,52,0.3520641326904297,0.11322903633117676
1.0,53,0.33800721168518066,0.11036205291748047
1.0,54,0.32778286933898926,0.11343693733215332
1.0,55,0.32361912727355957,0.1092989444732666
1.0,56,0.3201308250427246,0.10895204544067383
1.0,57,0.31230592727661133,0.11297893524169922
1.0,58,0.3165581226348877,0.11166810989379883
1.0,59,0.315960168838501,0.1104738712310791
1.0,60,0.31682562828063965,0.1104438304901123
1.0,61,0.3090989589691162,0.11232519149780273
1.0,62,0.30832934379577637,0.11131072044372559
1.0,63,0.30431103706359863,0.10907793045043945
1.0,64,0.31380796432495117,0.10949516296386719
1.0,65,0.3151679039001465,0.11057615280151367
1.0,66,0.32805895805358887,0.10994815826416016
1.0,67,0.31189894676208496,0.10812902450561523
1.0,68,0.33112406730651855,0.10863614082336426
1.0,69,0.3096611499786377,0.1119222640991211
1.0,70,0.316943883895874,0.10843801498413086
1.0,71,0.31348609924316406,0.11333107948303223
1.0,72,0.3089470863342285,0.11206722259521484
1.0,73,0.30284905433654785,0.11160492897033691
1.0,74,0.30188989639282227,0.11281085014343262
1.0,75,0.2998342514038086,0.10886883735656738
1.0,76,0.3035273551940918,0.11266303062438965
1.0,77,0.30844807624816895,0.11153078079223633
1.0,78,0.30158400535583496,0.11195731163024902
1.0,79,0.3025839328765869,0.10798406600952148
1.0,80,0.30565381050109863,0.11286187171936035
1.0,81,0.3047611713409424,0.10855603218078613
1.0,82,0.30188894271850586,0.10867619514465332
1.0,83,0.3094978332519531,0.11246895790100098
1.0,84,0.3078322410583496,0.10836315155029297
1.0,85,0.30449795722961426,0.11279726028442383
1.0,86,0.3090052604675293,0.10779643058776855
1.0,87,0.3101060390472412,0.11290502548217773
1.0,88,0.30100393295288086,0.11203670501708984
1.0,89,0.3027777671813965,0.10896015167236328
1.0,90,0.30736398696899414,0.11034178733825684
1.0,91,0.30727195739746094,0.11200881004333496
1.0,92,0.31174397468566895,0.11269783973693848
1.0,93,0.3046457767486572,0.10883116722106934
1.0,94,0.31049394607543945,0.10783100128173828
1.0,95,0.3059990406036377,0.11188888549804688
1.0,96,0.3076620101928711,0.10967493057250977
1.0,97,0.3126640319824219,0.1110999584197998
1.0,98,0.31612682342529297,0.1082911491394043
1.0,99,0.42307186126708984,0.10863161087036133
1.0,100,0.31464290618896484,0.11173486709594727
