initial_FN,initial_FP,initial_average precision,initial_f1,initial_precision,initial_recall,initial_roc auc,label,learner,query time (s),sample_100_FN,sample_100_FP,sample_100_average precision,sample_100_f1,sample_100_precision,sample_100_recall,sample_100_roc auc,sample_10_FN,sample_10_FP,sample_10_average precision,sample_10_f1,sample_10_precision,sample_10_recall,sample_10_roc auc,sample_1_FN,sample_1_FP,sample_1_average precision,sample_1_f1,sample_1_precision,sample_1_recall,sample_1_roc auc,sample_25_FN,sample_25_FP,sample_25_average precision,sample_25_f1,sample_25_precision,sample_25_recall,sample_25_roc auc,sample_50_FN,sample_50_FP,sample_50_average precision,sample_50_f1,sample_50_precision,sample_50_recall,sample_50_roc auc,sampling strategy,train time (s)
6,3,0.9999929910309973,0.9995801651350468,0.9997200709153681,0.9994402985074626,0.9999920985123724,neptune.,LogisticRegression,0.0022928714752197266,1,0,0.999999991298985,0.999953356033397,1.0,0.9999067164179104,0.999999990410816,6,8,0.9998702199525429,0.9993470758324784,0.9992538705465398,0.9994402985074626,0.9999218385611008,5,1,0.9999955305302279,0.9997200970330286,0.9999066815976111,0.9995335820895522,0.9999949944459446,2,0,0.9999999130628312,0.9999067077152719,1.0,0.9998134328358209,0.9999999041081599,1,0,0.999999982599593,0.999953356033397,1.0,0.9999067164179104,0.999999980821632,entropy_sampling,0.026525020599365234
6,3,0.9999929910309973,0.9995801651350468,0.9997200709153681,0.9994402985074626,0.9999920985123724,neptune.,LogisticRegression,0.002087831497192383,1,0,0.999999991298985,0.999953356033397,1.0,0.9999067164179104,0.999999990410816,6,8,0.9998702199525429,0.9993470758324784,0.9992538705465398,0.9994402985074626,0.9999218385611008,5,1,0.9999955305302279,0.9997200970330286,0.9999066815976111,0.9995335820895522,0.9999949944459446,2,0,0.9999999130628312,0.9999067077152719,1.0,0.9998134328358209,0.9999999041081599,1,0,0.999999982599593,0.999953356033397,1.0,0.9999067164179104,0.999999980821632,uncertainty_sampling,0.03061985969543457
2,0,1.0,0.995433789954338,1.0,0.990909090909091,1.0,back.,RandomForestClassifier,0.10912203788757324,2,0,1.0,0.995433789954338,1.0,0.990909090909091,1.0,3,0,1.0,0.9931350114416476,1.0,0.9863636363636363,1.0,2,0,1.0,0.995433789954338,1.0,0.990909090909091,1.0,0,0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0,random_sampling,0.10534214973449707
2,0,1.0,0.995433789954338,1.0,0.990909090909091,1.0,back.,RandomForestClassifier,0.10442376136779785,0,0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0,4,0,1.0,0.9908256880733944,1.0,0.9818181818181818,1.0,0,0,1.0,1.0,1.0,1.0,1.0,1,0,1.0,0.9977220956719818,1.0,0.9954545454545455,1.0,entropy_sampling,0.11087894439697266
2,0,1.0,0.995433789954338,1.0,0.990909090909091,1.0,back.,RandomForestClassifier,0.10941171646118164,0,0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0,4,0,1.0,0.9908256880733944,1.0,0.9818181818181818,1.0,0,0,1.0,1.0,1.0,1.0,1.0,1,0,1.0,0.9977220956719818,1.0,0.9954545454545455,1.0,uncertainty_sampling,0.10543298721313477
4,24,0.8095565964856206,0.9391304347826087,0.9,0.9818181818181818,0.9979576293361245,back.,LogisticRegression,0.0007121562957763672,44,13,0.841507175035227,0.8606356968215159,0.9312169312169312,0.8,0.9939593301435407,4,25,0.8048233275984727,0.9370932754880694,0.8962655601659751,0.9818181818181818,0.9978795977870814,5,22,0.8311268675918085,0.9409190371991247,0.9071729957805907,0.9772727272727273,0.9980445387260766,5,19,0.8306189222277983,0.9471365638766519,0.9188034188034188,0.9772727272727273,0.9972394587320574,6,20,0.8288011981774661,0.9427312775330396,0.9145299145299145,0.9727272727272728,0.996983403110048,random_sampling,0.03475189208984375
4,24,0.8095565964856206,0.9391304347826087,0.9,0.9818181818181818,0.9979576293361245,back.,LogisticRegression,0.0007722377777099609,5,19,0.8453136426158121,0.9471365638766519,0.9188034188034188,0.9772727272727273,0.9979450134569379,5,24,0.8217831762246401,0.9368191721132897,0.899581589958159,0.9772727272727273,0.9980501457834928,4,23,0.8173921434782844,0.9411764705882354,0.9037656903765691,0.9818181818181818,0.9981795753588516,4,19,0.8422519932300195,0.9494505494505494,0.9191489361702128,0.9818181818181818,0.9986608477870813,5,19,0.8358386613302565,0.9471365638766519,0.9188034188034188,0.9772727272727273,0.9982907819976077,entropy_sampling,0.03338909149169922
4,24,0.8095565964856206,0.9391304347826087,0.9,0.9818181818181818,0.9979576293361245,back.,LogisticRegression,0.0010333061218261719,5,19,0.8453136426158121,0.9471365638766519,0.9188034188034188,0.9772727272727273,0.9979450134569379,5,24,0.8217831762246401,0.9368191721132897,0.899581589958159,0.9772727272727273,0.9980501457834928,4,23,0.8173921434782844,0.9411764705882354,0.9037656903765691,0.9818181818181818,0.9981795753588516,4,19,0.8422519932300195,0.9494505494505494,0.9191489361702128,0.9818181818181818,0.9986608477870813,5,19,0.8358386613302565,0.9471365638766519,0.9188034188034188,0.9772727272727273,0.9982907819976077,uncertainty_sampling,0.03266596794128418
16,0,0.9901260021999159,0.9470198675496689,1.0,0.89937106918239,0.9998771619496856,satan.,RandomForestClassifier,0.10592293739318848,17,0,0.9514239996363405,0.9435215946843853,1.0,0.8930817610062893,0.9778503599801391,17,0,0.9903454403276404,0.9435215946843853,1.0,0.8930817610062893,0.9998878294645812,16,0,0.9901260021999159,0.9470198675496689,1.0,0.89937106918239,0.9998771619496856,17,0,0.9514239996363405,0.9435215946843853,1.0,0.8930817610062893,0.9778503599801391,17,0,0.9514239996363405,0.9435215946843853,1.0,0.8930817610062893,0.9778503599801391,random_sampling,0.1102609634399414
16,0,0.9901260021999159,0.9470198675496689,1.0,0.89937106918239,0.9998771619496856,satan.,RandomForestClassifier,0.10579991340637207,0,0,1.0,1.0,1.0,1.0,1.0,5,0,0.9971018847379627,0.9840255591054313,1.0,0.9685534591194969,0.9999608857787156,16,0,0.9874981267156318,0.9470198675496689,1.0,0.89937106918239,0.9998312593098312,0,0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0,entropy_sampling,0.11037397384643555
16,0,0.9901260021999159,0.9470198675496689,1.0,0.89937106918239,0.9998771619496856,satan.,RandomForestClassifier,0.10385918617248535,0,0,1.0,1.0,1.0,1.0,1.0,5,0,0.9971018847379627,0.9840255591054313,1.0,0.9685534591194969,0.9999608857787156,16,0,0.9874981267156318,0.9470198675496689,1.0,0.89937106918239,0.9998312593098312,0,0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0,uncertainty_sampling,0.10701298713684082
17,0,0.9972847773446892,0.9435215946843853,1.0,0.8930817610062893,0.9999456926514398,satan.,LogisticRegression,0.0011289119720458984,17,0,0.9972330605374782,0.9435215946843853,1.0,0.8930817610062893,0.9999443996193313,17,0,0.9972847773446892,0.9435215946843853,1.0,0.8930817610062893,0.9999456926514398,17,0,0.9972847773446892,0.9435215946843853,1.0,0.8930817610062893,0.9999456926514398,17,0,0.9972565115951209,0.9435215946843853,1.0,0.8930817610062893,0.9999450461353856,17,0,0.9972330605374782,0.9435215946843853,1.0,0.8930817610062893,0.9999443996193313,random_sampling,0.03218197822570801
17,0,0.9972847773446892,0.9435215946843853,1.0,0.8930817610062893,0.9999456926514398,satan.,LogisticRegression,0.000904083251953125,1,1,0.9996987157759951,0.9937106918238994,0.9937106918238994,0.9937106918238994,0.9999948278715657,2,9,0.9915311981589732,0.9661538461538461,0.9457831325301205,0.9874213836477987,0.9999178924611056,15,0,0.9949327733087109,0.9504950495049505,1.0,0.9056603773584906,0.999884920142337,1,1,0.9947047276091876,0.9937106918238994,0.9937106918238994,0.9937106918238994,0.9994524009020191,1,2,0.9948857799555092,0.9905956112852665,0.9875,0.9937106918238994,0.9995526108904336,entropy_sampling,0.02774810791015625
17,0,0.9972847773446892,0.9435215946843853,1.0,0.8930817610062893,0.9999456926514398,satan.,LogisticRegression,0.0007507801055908203,1,1,0.9996987157759951,0.9937106918238994,0.9937106918238994,0.9937106918238994,0.9999948278715657,2,9,0.9915311981589732,0.9661538461538461,0.9457831325301205,0.9874213836477987,0.9999178924611056,15,0,0.9949327733087109,0.9504950495049505,1.0,0.9056603773584906,0.999884920142337,1,1,0.9947047276091876,0.9937106918238994,0.9937106918238994,0.9937106918238994,0.9994524009020191,1,2,0.9948857799555092,0.9905956112852665,0.9875,0.9937106918238994,0.9995526108904336,uncertainty_sampling,0.024693965911865234
4,0,0.9972802346770968,0.983739837398374,1.0,0.968,0.9999597039473684,ipsweep.,RandomForestClassifier,0.10299110412597656,4,0,0.9984260778591487,0.983739837398374,1.0,0.968,0.9999876644736843,4,0,0.9972802346770968,0.983739837398374,1.0,0.968,0.9999597039473684,4,0,0.9972802346770968,0.983739837398374,1.0,0.968,0.9999597039473684,4,3,0.9954675353567456,0.9718875502008033,0.9758064516129032,0.968,0.9999432565789474,4,0,0.99925,0.983739837398374,1.0,0.968,0.9999950657894737,random_sampling,0.10957121849060059
4,0,0.9972802346770968,0.983739837398374,1.0,0.968,0.9999597039473684,ipsweep.,RandomForestClassifier,0.10319375991821289,0,0,1.0,1.0,1.0,1.0,1.0,1,0,1.0,0.9959839357429718,1.0,0.992,1.0,4,0,0.9973304682603634,0.983739837398374,1.0,0.968,0.9999613486842105,1,0,0.9996335877862595,0.9959839357429718,1.0,0.992,0.9999975328947368,1,0,1.0,0.9959839357429718,1.0,0.992,1.0,entropy_sampling,0.10760092735290527
4,0,0.9972802346770968,0.983739837398374,1.0,0.968,0.9999597039473684,ipsweep.,RandomForestClassifier,0.10576319694519043,0,0,1.0,1.0,1.0,1.0,1.0,1,0,1.0,0.9959839357429718,1.0,0.992,1.0,4,0,0.9973304682603634,0.983739837398374,1.0,0.968,0.9999613486842105,1,0,0.9996335877862595,0.9959839357429718,1.0,0.992,0.9999975328947368,1,0,1.0,0.9959839357429718,1.0,0.992,1.0,uncertainty_sampling,0.1093740463256836
