f1,i,query time (s),train time (s)
0.9470198675496689,0,0.10385918617248535,0.10701298713684082
0.9470198675496689,1,0.1630258560180664,0.10691404342651367
0.9470198675496689,2,0.1275618076324463,0.11150169372558594
0.9607843137254902,3,0.1289207935333252,0.10968685150146484
0.9675324675324676,4,0.13052892684936523,0.11069893836975098
0.977491961414791,5,0.13289809226989746,0.10819888114929199
0.9840255591054313,6,0.13230180740356445,0.10713696479797363
0.9840255591054313,7,0.12935590744018555,0.10827898979187012
0.9872611464968153,8,0.12755393981933594,0.11147904396057129
0.9904761904761905,9,0.12831497192382812,0.10866904258728027
0.9840255591054313,10,0.13103199005126953,0.11191987991333008
0.9840255591054313,11,0.12687993049621582,0.10705399513244629
0.9840255591054313,12,0.13393807411193848,0.10752320289611816
0.9840255591054313,13,0.13075494766235352,0.11147117614746094
0.9904761904761905,14,0.13242816925048828,0.1102452278137207
0.9968454258675079,15,0.13026881217956543,0.10916495323181152
0.9968454258675079,16,0.1281430721282959,0.10846304893493652
1.0,17,0.1287369728088379,0.11137676239013672
1.0,18,0.13136792182922363,0.10677790641784668
0.9968652037617556,19,0.131544828414917,0.11138296127319336
1.0,20,0.12831783294677734,0.11203479766845703
0.9968652037617556,21,0.1291520595550537,0.10758614540100098
0.9968652037617556,22,0.13055896759033203,0.11080384254455566
1.0,23,0.13165807723999023,0.10761189460754395
1.0,24,0.12877607345581055,0.11124730110168457
1.0,25,0.13076519966125488,0.11163735389709473
1.0,26,0.1362471580505371,0.10974287986755371
0.9968454258675079,27,0.12969303131103516,0.10795116424560547
0.9968454258675079,28,0.12786483764648438,0.11152911186218262
0.9968454258675079,29,0.1325531005859375,0.10893487930297852
1.0,30,0.13005995750427246,0.10742783546447754
1.0,31,0.13139724731445312,0.1085968017578125
1.0,32,0.13204002380371094,0.10986185073852539
1.0,33,0.12701988220214844,0.10837388038635254
1.0,34,0.13088417053222656,0.10702109336853027
1.0,35,0.12943196296691895,0.10748600959777832
0.9968454258675079,36,0.12712788581848145,0.1073598861694336
1.0,37,0.12729096412658691,0.10732197761535645
1.0,38,0.1309950351715088,0.10786294937133789
1.0,39,0.12946367263793945,0.11039423942565918
1.0,40,0.13149023056030273,0.11222290992736816
0.9937106918238994,41,0.13147401809692383,0.1105499267578125
0.9968454258675079,42,0.1317460536956787,0.11049389839172363
1.0,43,0.12945985794067383,0.10924959182739258
0.9968652037617556,44,0.13050603866577148,0.10710597038269043
1.0,45,0.1283109188079834,0.10949110984802246
1.0,46,0.12825822830200195,0.1099851131439209
0.9968652037617556,47,0.13110613822937012,0.10734295845031738
1.0,48,0.13057684898376465,0.10835886001586914
1.0,49,0.12746310234069824,0.10738492012023926
1.0,50,0.12791991233825684,0.10771918296813965
1.0,51,0.12821292877197266,0.10869383811950684
1.0,52,0.13097810745239258,0.10715126991271973
1.0,53,0.12776398658752441,0.1087031364440918
1.0,54,0.12817096710205078,0.10975909233093262
1.0,55,0.13288092613220215,0.10946989059448242
1.0,56,0.13288187980651855,0.10994219779968262
1.0,57,0.13244318962097168,0.11115431785583496
1.0,58,0.12760019302368164,0.10769414901733398
1.0,59,0.12887024879455566,0.10876297950744629
1.0,60,0.13266301155090332,0.1084752082824707
1.0,61,0.12845206260681152,0.11167502403259277
0.9968652037617556,62,0.13152503967285156,0.10822391510009766
1.0,63,0.12725615501403809,0.1098020076751709
1.0,64,0.13029026985168457,0.10700201988220215
1.0,65,0.13355207443237305,0.10956788063049316
1.0,66,0.13243961334228516,0.11054587364196777
1.0,67,0.1325550079345703,0.10678601264953613
1.0,68,0.13057613372802734,0.10704207420349121
1.0,69,0.12773990631103516,0.11075496673583984
1.0,70,0.13259482383728027,0.10831904411315918
1.0,71,0.12900900840759277,0.11185908317565918
1.0,72,0.1323552131652832,0.11102700233459473
1.0,73,0.12873101234436035,0.10663509368896484
1.0,74,0.1298809051513672,0.11017799377441406
1.0,75,0.12873435020446777,0.11028695106506348
1.0,76,0.1290600299835205,0.10714197158813477
1.0,77,0.12647104263305664,0.1112518310546875
1.0,78,0.12690997123718262,0.10601997375488281
1.0,79,0.1264359951019287,0.11070108413696289
1.0,80,0.13019013404846191,0.10950112342834473
1.0,81,0.12852811813354492,0.10844993591308594
1.0,82,0.12914013862609863,0.10736680030822754
1.0,83,0.1331467628479004,0.1078798770904541
1.0,84,0.12819194793701172,0.1116480827331543
1.0,85,0.1279919147491455,0.10712718963623047
1.0,86,0.12820196151733398,0.11071610450744629
1.0,87,0.13071823120117188,0.11135101318359375
1.0,88,0.12978291511535645,0.10658717155456543
1.0,89,0.13044285774230957,0.11045384407043457
1.0,90,0.12510919570922852,0.10551714897155762
1.0,91,0.12913799285888672,0.10802626609802246
1.0,92,0.13190197944641113,0.10750699043273926
1.0,93,0.1324460506439209,0.11130213737487793
1.0,94,0.12900185585021973,0.10872387886047363
1.0,95,0.1276860237121582,0.11139988899230957
1.0,96,0.12830376625061035,0.11017227172851562
1.0,97,0.13157296180725098,0.10709381103515625
1.0,98,0.13342738151550293,0.11039280891418457
1.0,99,0.12672209739685059,0.10929512977600098
1.0,100,0.13188886642456055,0.11097073554992676
